id,legal_name,name,dob,email,phone,father_name,mother_name,husband_name,gender,blood_group,marital_status,present_address,permanent_address,devotional_status_id,gurudev_harinam,gurudev_pancharatrik,harinam_initiation_gurudev,pancharatrik_initiation_gurudev,initiated_name,harinam_date,pancharatrik_date,education,occupation,devotional_courses,additional_comments,shraddhakutir_id,created_at,updated_at,namhatta_id
13,"Ramesh Jha",,1951-09-15,ramesh.jha@example.com,+915813735424,"Samir Bhattacharya","Suma Bose","Indira Prasad",MALE,AB+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Paschim Medinipur"",""subDistrict"":""Kharagpur"",""village"":""Kharagpur"",""postalCode"":""721301""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Paschim Medinipur"",""subDistrict"":""Kharagpur"",""village"":""Kharagpur"",""postalCode"":""721301""}",6,,,,,"Bharata Das",2016-11-20,,,Doctor,"[{""name"":""Course 8"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-03-21T03:37:05.710Z,CURRENT_TIMESTAMP,15
14,"Deepak Verma",,1953-11-28,deepak.verma@example.com,+917044159518,"Swapan Biswas","Kamala Banerjee","Parvati Ghosh",MALE,AB-,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Howrah"",""village"":""Howrah"",""postalCode"":""711101""}","{""country"":""India"",""state"":""Odisha"",""district"":""Ganjam"",""subDistrict"":""Berhampur"",""village"":""Berhampur"",""postalCode"":""760001""}",6,,,,,,,,,Housewife,[],,,2024-12-23T17:11:42.425Z,CURRENT_TIMESTAMP,16
15,"Sharda Pillai",,1973-07-21,sharda.pillai@example.com,+912369564964,"Dinesh Roy","Nita Patel","Devendra Nair",FEMALE,AB+,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Ranchi"",""subDistrict"":""Ranchi"",""village"":""Ranchi"",""postalCode"":""834001""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Ranchi"",""subDistrict"":""Ranchi"",""village"":""Ranchi"",""postalCode"":""834001""}",4,,,,,"Gandhari Devi",2023-01-17,,,Doctor,"[{""name"":""Course 9"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-01-04T07:52:32.253Z,CURRENT_TIMESTAMP,17
16,"Goutam Sengupta",,1955-02-06,goutam.sengupta@example.com,+919851487171,"Tapan Mukherjee","Sita Agarwal","Shyama Mukherjee",MALE,O+,,"{""country"":""India"",""state"":""Odisha"",""district"":""Ganjam"",""subDistrict"":""Berhampur"",""village"":""Berhampur"",""postalCode"":""760001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Ganjam"",""subDistrict"":""Berhampur"",""village"":""Berhampur"",""postalCode"":""760001""}",3,,,,,,,,,Student,[],,,2024-09-26T06:52:14.863Z,CURRENT_TIMESTAMP,18
17,"Ajit Patels",,1996-04-15,ajit.patel@example.com,+916354712985,"Samir Bhattacharya","Gita Joshi","",MALE,A-,"","{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Ranaghat"",""village"":""Ranaghat"",""postalCode"":""741201""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Ranaghat"",""village"":""Ranaghat"",""postalCode"":""741201""}",6,,,"","","Nakula Das",2013-09-20,"",,"Government Service","[{""name"":""dfdfds"",""date"":"""",""institute"":""""}]",,,2024-11-09T11:17:51.309Z,CURRENT_TIMESTAMP,19
18,"Rohit Thakur",,1989-06-17,rohit.thakur@example.com,+912656182624,"Sanjib Mondal","Ritu Mondal",,MALE,AB-,,"{""country"":""India"",""state"":""Odisha"",""district"":""Cuttack"",""subDistrict"":""Cuttack"",""village"":""Cuttack"",""postalCode"":""753001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Cuttack"",""subDistrict"":""Cuttack"",""village"":""Cuttack"",""postalCode"":""753001""}",7,,,,,"Rukmini Devi",2012-08-05,,,Teacher,[],,,2025-05-25T04:00:38.046Z,CURRENT_TIMESTAMP,20
19,"Arun Bhardwaj",,1984-11-21,arun.bhardwaj@example.com,+918402086361,"Santosh Kumar","Bela Sengupta",,MALE,O-,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Krishnanagar"",""village"":""Krishnanagar"",""postalCode"":""741101""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Krishnanagar"",""village"":""Krishnanagar"",""postalCode"":""741101""}",1,,,,,"Bharata Das",2020-11-28,,,Retired,[],,,2024-08-27T12:04:43.531Z,CURRENT_TIMESTAMP,21
20,"Puja Mitra",,1959-08-08,puja.mitra@example.com,+918999419385,"Samir Bhattacharya","Anjali Yadav","Pradip Mitra",FEMALE,O-,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Purba Medinipur"",""subDistrict"":""Tamluk"",""village"":""Tamluk"",""postalCode"":""721636""}","{""country"":""India"",""state"":""Bihar"",""district"":""Muzaffarpur"",""subDistrict"":""Muzaffarpur"",""village"":""Muzaffarpur"",""postalCode"":""842001""}",2,,,,,,,,,Business,"[{""name"":""Course 10"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-05-22T05:49:36.782Z,CURRENT_TIMESTAMP,22
21,"Narendra Reddy",,1993-01-09,narendra.reddy@example.com,+912883121355,"Bijoy Chatterjee","Meera Singh",,MALE,A-,,"{""country"":""India"",""state"":""Odisha"",""district"":""Puri"",""subDistrict"":""Puri"",""village"":""Puri"",""postalCode"":""752001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Puri"",""subDistrict"":""Puri"",""village"":""Puri"",""postalCode"":""752001""}",1,,,,,"Sita Devi",2012-08-16,,,Housewife,[],,,2024-10-10T02:54:05.310Z,CURRENT_TIMESTAMP,23
22,"Manoj Yadav",,1961-11-28,manoj.yadav@example.com,+911625863258,"Arun Bhardwaj","Anjali Yadav",,MALE,A-,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Bokaro"",""subDistrict"":""Bokaro"",""village"":""Bokaro"",""postalCode"":""827001""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Bokaro"",""subDistrict"":""Bokaro"",""village"":""Bokaro"",""postalCode"":""827001""}",3,,,,,,,,,Doctor,"[{""name"":""Course 4"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2024-08-02T06:24:25.399Z,CURRENT_TIMESTAMP,24
23,"Sunita Devi",,1981-08-02,sunita.devi@example.com,+915374916654,"Rajesh Kumar","Puja Mitra",,FEMALE,AB-,,"{""country"":""India"",""state"":""Bihar"",""district"":""Darbhanga"",""subDistrict"":""Darbhanga"",""village"":""Darbhanga"",""postalCode"":""846001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Darbhanga"",""subDistrict"":""Darbhanga"",""village"":""Darbhanga"",""postalCode"":""846001""}",4,,,,,"Vrinda Devi",2006-09-02,,,Retired,"[{""name"":""Course 6"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-03-07T06:14:13.946Z,CURRENT_TIMESTAMP,25
24,"Rekha Gupta",,1951-11-15,rekha.gupta@example.com,+911222117773,"Ajit Patel","Anjali Yadav",,FEMALE,B+,,"{""country"":""India"",""state"":""Bihar"",""district"":""Muzaffarpur"",""subDistrict"":""Muzaffarpur"",""village"":""Muzaffarpur"",""postalCode"":""842001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Puri"",""subDistrict"":""Puri"",""village"":""Puri"",""postalCode"":""752001""}",6,,,,,,,,,Housewife,"[{""name"":""Course 8"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2024-12-29T09:09:17.507Z,CURRENT_TIMESTAMP,26
25,"Manoj Yadav",,1999-05-02,manoj.yadav@example.com,+914896200040,"Vinod Tiwari","Kali Das",,MALE,O+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Ranaghat"",""village"":""Ranaghat"",""postalCode"":""741201""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Ranaghat"",""village"":""Ranaghat"",""postalCode"":""741201""}",5,,,,,"Vrindavan Das",2018-02-22,,,Retired,"[{""name"":""Course 1"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-02-14T18:23:47.670Z,CURRENT_TIMESTAMP,27
26,"Prakash Mishra",,1966-05-08,prakash.mishra@example.com,+915390982242,"Rajesh Kumar","Hema Biswas","Sita Agarwal",MALE,A-,,"{""country"":""India"",""state"":""Bihar"",""district"":""Patna"",""subDistrict"":""Patna"",""village"":""Patna"",""postalCode"":""800001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Patna"",""subDistrict"":""Patna"",""village"":""Patna"",""postalCode"":""800001""}",1,,,,,"Rukmini Devi",2009-08-05,,,Doctor,"[{""name"":""Course 10"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2024-10-09T07:34:53.989Z,CURRENT_TIMESTAMP,28
27,"Arun Bhardwaj",,1950-12-13,arun.bhardwaj@example.com,+916376044420,"Ashok Pandey","Sharda Pillai",,MALE,B-,,"{""country"":""India"",""state"":""Odisha"",""district"":""Puri"",""subDistrict"":""Puri"",""village"":""Puri"",""postalCode"":""752001""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Purba Medinipur"",""subDistrict"":""Tamluk"",""village"":""Tamluk"",""postalCode"":""721636""}",2,,,,,"Jagannath Das",2007-12-19,,,Engineer,[],,,2025-03-11T09:47:09.650Z,CURRENT_TIMESTAMP,29
28,"Meera Singh",,1971-02-10,meera.singh@example.com,+916892110683,"Vinod Tiwari","Indira Prasad","Ravi Singh",FEMALE,O+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Ranaghat"",""village"":""Ranaghat"",""postalCode"":""741201""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Ranaghat"",""village"":""Ranaghat"",""postalCode"":""741201""}",5,,,,,"Bharata Das",2015-04-06,,,Retired,[],,,2025-04-01T23:31:10.536Z,CURRENT_TIMESTAMP,30
29,"Ravi Singh",,1963-07-17,ravi.singh@example.com,+913353999507,"Vikash Choudhary","Pushpa Choudhary",,MALE,B+,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Deoghar"",""subDistrict"":""Deoghar"",""village"":""Deoghar"",""postalCode"":""814001""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Deoghar"",""subDistrict"":""Deoghar"",""village"":""Deoghar"",""postalCode"":""814001""}",5,,,,,,,,,Teacher,[],,,2025-03-30T10:27:09.891Z,CURRENT_TIMESTAMP,31
30,"Nitin Joshi",,1969-02-04,nitin.joshi@example.com,+911838417947,"Jitendra Pillai","Malati Chatterjee",,MALE,A+,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Ranchi"",""subDistrict"":""Ranchi"",""village"":""Ranchi"",""postalCode"":""834001""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Ranchi"",""subDistrict"":""Ranchi"",""village"":""Ranchi"",""postalCode"":""834001""}",2,,,,,"Nitai Das",2014-10-05,,,Farmer,[],,,2025-02-22T06:02:17.696Z,CURRENT_TIMESTAMP,32
31,"Shoba Kapoor",,1958-03-05,shoba.kapoor@example.com,+913268258641,"Tapan Mukherjee","Kali Das",,FEMALE,A-,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Bokaro"",""subDistrict"":""Bokaro"",""village"":""Bokaro"",""postalCode"":""827001""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Bokaro"",""subDistrict"":""Bokaro"",""village"":""Bokaro"",""postalCode"":""827001""}",3,,,,,,,,,Doctor,[],,,2024-07-18T23:29:51.044Z,CURRENT_TIMESTAMP,33
32,"Sushma Rana",,1980-09-26,sushma.rana@example.com,+914784342899,"Deepak Verma","Rekha Gupta","Rohit Thakur",FEMALE,AB-,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Darjeeling"",""subDistrict"":""Darjeeling"",""village"":""Darjeeling"",""postalCode"":""734101""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Darjeeling"",""subDistrict"":""Darjeeling"",""village"":""Darjeeling"",""postalCode"":""734101""}",2,,,,,"Vibhishana Das",2023-01-26,,,Housewife,"[{""name"":""Course 5"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-02-20T06:48:44.937Z,CURRENT_TIMESTAMP,34
33,"Saraswati Sinha",,1983-02-14,saraswati.sinha@example.com,+917268884508,"Tarun Chakraborty","Usha Kumar","Amit Sharma",FEMALE,A+,,"{""country"":""India"",""state"":""Bihar"",""district"":""Darbhanga"",""subDistrict"":""Darbhanga"",""village"":""Darbhanga"",""postalCode"":""846001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Darbhanga"",""subDistrict"":""Darbhanga"",""village"":""Darbhanga"",""postalCode"":""846001""}",1,,,,,"Vrindavan Das",2016-02-18,,,Student,[],,,2024-08-11T23:00:46.094Z,CURRENT_TIMESTAMP,35
34,"Sujata Bhattacharya",,1969-03-05,sujata.bhattacharya@example.com,+912418626018,"Upendra Rao","Kiran Majumdar",,FEMALE,B+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Malda"",""subDistrict"":""Malda"",""village"":""Malda"",""postalCode"":""732101""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Malda"",""subDistrict"":""Malda"",""village"":""Malda"",""postalCode"":""732101""}",7,,,,,"Yamuna Devi",2014-07-25,,,Farmer,[],,,2025-05-10T01:01:39.006Z,CURRENT_TIMESTAMP,36
35,"Sanjib Mondal",,1983-01-28,sanjib.mondal@example.com,+912847302237,"Samir Bhattacharya","Suma Bose",,MALE,AB-,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Salt Lake"",""village"":""Salt Lake City"",""postalCode"":""700064""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Salt Lake"",""village"":""Salt Lake City"",""postalCode"":""700064""}",4,,,,,"Govardhan Das",2018-02-27,,,Retired,[],,,2024-12-08T23:25:26.739Z,CURRENT_TIMESTAMP,37
36,"Pankaj Das",,1963-03-05,pankaj.das@example.com,+913691402076,"Ranjan Pal","Kali Das","Sunanda Rao",MALE,O-,,"{""country"":""India"",""state"":""Odisha"",""district"":""Khordha"",""subDistrict"":""Bhubaneswar"",""village"":""Bhubaneswar"",""postalCode"":""751001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Khordha"",""subDistrict"":""Bhubaneswar"",""village"":""Bhubaneswar"",""postalCode"":""751001""}",2,,,,,"Subhadra Devi",2023-05-08,,,Teacher,[],,,2025-02-22T18:36:55.069Z,CURRENT_TIMESTAMP,38
37,"Vidya Nair",,1958-04-24,vidya.nair@example.com,+917037805142,"Jitendra Pillai","Saraswati Sinha",,FEMALE,A-,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Dhanbad"",""subDistrict"":""Dhanbad"",""village"":""Dhanbad"",""postalCode"":""826001""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Dhanbad"",""subDistrict"":""Dhanbad"",""village"":""Dhanbad"",""postalCode"":""826001""}",5,,,,,"Sita Devi",2021-02-11,,,Teacher,[],,,2025-01-12T18:08:25.119Z,CURRENT_TIMESTAMP,39
38,"Malati Chatterjee",,1992-03-21,malati.chatterjee@example.com,+918696314922,"Manoj Yadav","Nita Patel","Bijoy Chatterjee",FEMALE,A+,,"{""country"":""India"",""state"":""Bihar"",""district"":""Bhagalpur"",""subDistrict"":""Bhagalpur"",""village"":""Bhagalpur"",""postalCode"":""812001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Bhagalpur"",""subDistrict"":""Bhagalpur"",""village"":""Bhagalpur"",""postalCode"":""812001""}",1,,,,,"Nakula Das",2023-10-06,,,Doctor,"[{""name"":""Course 6"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-07-04T04:32:36.301Z,CURRENT_TIMESTAMP,40
39,"Mahendra Prasad",,1993-04-17,mahendra.prasad@example.com,+918190597898,"Ashok Pandey","Shoba Kapoor",,MALE,B+,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Ranchi"",""subDistrict"":""Ranchi"",""village"":""Ranchi"",""postalCode"":""834001""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Ranchi"",""subDistrict"":""Ranchi"",""village"":""Ranchi"",""postalCode"":""834001""}",2,,,,,,,,,Business,[],,,2025-03-17T02:00:10.197Z,CURRENT_TIMESTAMP,41
40,"Jitendra Pillai",,1976-11-14,jitendra.pillai@example.com,+915590106350,"Swapan Biswas","Durga Roy",,MALE,O+,,"{""country"":""India"",""state"":""Bihar"",""district"":""Patna"",""subDistrict"":""Patna"",""village"":""Patna"",""postalCode"":""800001""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Darjeeling"",""subDistrict"":""Darjeeling"",""village"":""Darjeeling"",""postalCode"":""734101""}",2,,,,,,,,,Retired,"[{""name"":""Course 8"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2024-08-28T04:25:27.323Z,CURRENT_TIMESTAMP,42
41,"Lila Dutta",,1988-06-14,lila.dutta@example.com,+914501421011,"Sushil Kapoor","Kamla Bhardwaj",,FEMALE,O-,,"{""country"":""India"",""state"":""Odisha"",""district"":""Khordha"",""subDistrict"":""Bhubaneswar"",""village"":""Bhubaneswar"",""postalCode"":""751001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Khordha"",""subDistrict"":""Bhubaneswar"",""village"":""Bhubaneswar"",""postalCode"":""751001""}",6,,,,,"Balarama Das",2013-01-10,,,Student,"[{""name"":""Course 7"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-04-11T22:53:06.895Z,CURRENT_TIMESTAMP,43
42,"Sushil Kapoor",,1969-12-14,sushil.kapoor@example.com,+915756064652,"Vikash Choudhary","Vijaya Nath",,MALE,B-,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Bokaro"",""subDistrict"":""Bokaro"",""village"":""Bokaro"",""postalCode"":""827001""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Bokaro"",""subDistrict"":""Bokaro"",""village"":""Bokaro"",""postalCode"":""827001""}",4,,,,,,,,,Teacher,[],,,2024-12-18T11:15:24.667Z,CURRENT_TIMESTAMP,44
43,"Tapan Mukherjee",,1999-06-22,tapan.mukherjee@example.com,+915592934561,"Dinesh Roy","Malati Chatterjee","Nita Patel",MALE,A+,,"{""country"":""India"",""state"":""Odisha"",""district"":""Puri"",""subDistrict"":""Puri"",""village"":""Puri"",""postalCode"":""752001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Puri"",""subDistrict"":""Puri"",""village"":""Puri"",""postalCode"":""752001""}",4,,,,,"Sita Devi",2010-11-13,,,"Government Service","[{""name"":""Course 6"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2024-09-15T09:19:12.154Z,CURRENT_TIMESTAMP,45
44,"Nirmal Bose",,1950-09-03,nirmal.bose@example.com,+918928201475,"Mukesh Agarwal","Sunita Devi","Lila Dutta",MALE,AB-,,"{""country"":""India"",""state"":""Odisha"",""district"":""Cuttack"",""subDistrict"":""Cuttack"",""village"":""Cuttack"",""postalCode"":""753001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Cuttack"",""subDistrict"":""Cuttack"",""village"":""Cuttack"",""postalCode"":""753001""}",7,,,,,"Jagannath Das",2018-08-01,,,Retired,"[{""name"":""Course 8"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2024-07-19T01:25:54.656Z,CURRENT_TIMESTAMP,46
45,"Swapan Biswas",,1984-08-27,swapan.biswas@example.com,+917490994059,"Upendra Rao","Meera Singh",,MALE,AB-,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Darjeeling"",""subDistrict"":""Darjeeling"",""village"":""Darjeeling"",""postalCode"":""734101""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Deoghar"",""subDistrict"":""Deoghar"",""village"":""Deoghar"",""postalCode"":""814001""}",1,,,,,"Radharani Devi",2017-03-25,,,Doctor,[],,,2024-08-13T09:08:38.100Z,CURRENT_TIMESTAMP,47
46,"Sunita Devi",,1960-12-17,sunita.devi@example.com,+919281609895,"Tapan Mukherjee","Gita Joshi",,FEMALE,AB+,,"{""country"":""India"",""state"":""Bihar"",""district"":""Gaya"",""subDistrict"":""Gaya"",""village"":""Gaya"",""postalCode"":""823001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Gaya"",""subDistrict"":""Gaya"",""village"":""Gaya"",""postalCode"":""823001""}",7,,,,,,,,,Doctor,[],,,2024-08-27T12:54:59.818Z,CURRENT_TIMESTAMP,48
47,"Deepak Verma",,1995-12-23,deepak.verma@example.com,+918023427540,"Sachin Rana","Vijaya Nath",,MALE,O-,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Deoghar"",""subDistrict"":""Deoghar"",""village"":""Deoghar"",""postalCode"":""814001""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Deoghar"",""subDistrict"":""Deoghar"",""village"":""Deoghar"",""postalCode"":""814001""}",5,,,,,"Lakshmi Devi",2015-01-24,,,Farmer,[],,,2024-08-10T09:50:19.628Z,CURRENT_TIMESTAMP,49
